,ClusterNo2,Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
56,1,2014-01-03 00:00:00,0.0,171.77349995,7.097,0.0,122.62900005,54.900999999999996,0.0,239.09199989999996,444.2424995,394.6515005,397.85000099999996,402.6329975,337.2409975,291.1085,300.69100000000003,290.669,165.5255,97.5805,32.00649995,94.911,0.0,93.81250005000001,85.8495,0.0
57,1,2014-01-22 00:00:00,146.42700005,0.0,0.0,41.61549995,109.0025,0.0,54.255999849999995,412.46900300000004,355.90449950000004,317.89099999999996,404.881999,421.5484975,315.351501,283.61800000000005,265.27000000000004,268.389,307.2635,123.00150020000001,2.676,198.67,34.9055001,0.0,147.11250005,0.0
58,1,2014-01-23 00:00:00,0.0,43.41549984999999,109.36250000000001,0.0,0.0,97.70299999999999,111.64650015000001,396.3744985,360.25100050000003,316.603,423.42349850000005,354.859997,257.1665,270.949,280.8405,276.5625,310.9195,163.8379999,177.75649999999996,85.27550000000001,0.0,94.13649995,70.942,0.0
59,1,2014-01-24 00:00:00,0.0,153.53249985,0.0,0.0,49.91699995,108.65150000000001,53.19200005,399.932999,348.367,313.19100000000003,316.7960005,434.43750049999994,305.874001,292.1155,294.902,313.416,314.70149999999995,148.530500005,0.0,2.6790001,165.19799999999998,0.0,0.0,81.04300005
60,1,2014-01-27 00:00:00,0.0,0.0,130.9520002,22.594999985,0.0,0.0,153.14449995,177.42200100000002,273.1799995,240.01000000000005,256.9065,255.82849999999996,255.9065,207.673,203.84550000000002,209.44500000000002,93.03599985,62.54049995,89.322,0.0,103.65200005,110.1335,0.0,0.0
61,1,2014-01-28 00:00:00,129.46999995,31.006500000000003,0.0,0.0,159.41549995,0.0,0.0,241.81200295,333.5989975,251.0525,258.498,242.3815,210.5495,197.1595,195.44,155.528,0.0,0.0,45.9515,156.2475,0.0,75.05700010000001,99.1255,0.0
62,1,2014-03-15 00:00:00,46.043000000000006,131.79299995000002,0.0,0.0,181.76099979999998,0.0,0.0,192.47299995000003,188.417,228.065,338.6339995,258.6295,201.38050015000002,204.6875,136.1105,7.7795,72.42999995,0.0,69.44700005,98.60999999500001,0.0,94.66650015,94.83749999999999,0.0
63,1,2014-04-01 00:00:00,126.01800010000001,58.431499999999986,0.0,84.79099984999999,99.54650000000001,0.0,73.49249995,229.52800000000002,346.03750049999996,497.3194965,439.15099699999996,396.35749899999996,376.04149900000004,323.48100200000005,288.9975,295.02849999999995,153.73749999999998,68.41799995,185.36300000000003,49.591499999999996,0.0,183.2845,23.2135,0.0
64,1,2014-04-02 00:00:00,158.88499995,23.68449999,0.0,112.42199994999999,76.07650000000001,0.0,102.61449999999999,225.0405,349.69999800000005,482.331499,453.69800150000003,402.35949800000003,312.48299899999995,280.98,318.25300000000004,318.7155,175.82,100.96350005,72.6135,170.58949994999998,64.239,64.4345,143.5945,71.9895
65,1,2014-04-03 00:00:00,0.0,91.20849999999999,98.96650000000001,0.0,63.655999949999995,126.09549999999999,0.0,154.01349979999998,347.34950100000003,496.1090019999999,447.427499,300.50649999999996,311.99399999999997,294.5395,246.2345,271.142,144.6685,0.0,57.2460002,89.822,0.0,161.12,50.133,0.0
66,1,2014-04-07 00:00:00,92.77599989999999,88.81249999999999,0.0,4.966500099999999,169.71900000000002,0.0,0.0,210.30350005,347.35199850000004,462.682996,412.95949700000006,347.27900050000005,293.9325,288.17949999999996,296.77350000000007,312.9125,171.9459998,85.10749995,64.4355,116.03399999999999,0.0,106.77449999999999,76.16900000000001,0.0
67,0,2012-07-14 00:00:00,21.59749995,125.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0185,0.0,0.0,0.0,0.0,0.0,0.0,159.5574999,0.0,0.0,0.0,0.0,0.0
68,0,2012-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.25300000000001,32.8685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.16,23.7865,0.0,0.0,0.0,0.0
69,0,2012-07-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.1105,73.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4775,103.576,0.0,0.0,0.0
70,0,2012-07-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.30749985,6.077999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.07950005000001,13.7,0.0
71,0,2012-07-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.80849995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.460000050000001,91.69149999999999,0.0,0.0,0.0
